disaron:nom,dc:title,disaron:Complement_titre,disaron:chapeau,disaron:Auteur,disaron:categorie,disaron:sous_collection,disaron:theme,disaron:annees_reference,disaron:descripteur,disaron:niveau_geographique,disaron:Date_premiere_publication,disaron:date_derniere_publication,ecm:versionLabel,disaron:Numerotation,url,nb de fichiers,noms des fichiers,urls des fichiers,E
IraAbo040,"Bovins. En février 2019, repli des abattages de bovins","Abattages en février 2019. Production, consommation, commerce extérieur en janvier 2019","En février 2019, les abattages de bovins sont en repli sur un an, toutes catégories confondues.","[{nom_auteur=Lapuyade, prenom_auteur=Marie-Anne, Structure=Service de la statistique et de la prospective (SSP). }]",NATIONAL,INFANIM,BOVIN,2019,BOVIN| ABATTAGE D'ANIMAUX| PRIX| PRODUCTION ANIMALE| CONJONCTURE| COMMERCE EXTÉRIEUR| CONSOMMATION ALIMENTAIRE,FRANCE,2019/03/29 00:00,2019/10/21 18:26,0.2,2019-040,https://agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo040/detail/,1,"[""2019_040_InforapBovins.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo040/2019_040_InforapBovins.pdf""]",
IraAbo041,"Porcins : En janvier 2019, hausse des exportations françaises de viande porcine vers la Chine","Abattages en février 2019. Production, consommation, commerce extérieur en janvier 2019","En début d’année 2019, l’activité soutenue des abattages de porcins se confirme, en rupture avec le second semestre 2018.","[{nom_auteur=Lapuyade, prenom_auteur=Marie-Anne, Structure=Service de la statistique et de la prospective (SSP). }]",NATIONAL,INFANIM,PORC,2019,ABATTAGE D'ANIMAUX| PRIX| PRODUCTION ANIMALE| CONJONCTURE| PORCIN| COMMERCE EXTÉRIEUR| CONSOMMATION ALIMENTAIRE,FRANCE,2019/03/29 00:00,2025/01/22 15:31,0.2,2019-041,https://agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo041/detail/,1,"[""2019_041_InforapPorcins.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo041/2019_041_InforapPorcins.pdf""]",
IraAbo042,"Ovins. En février 2019, hausse des abattages d’ovins sur un an","Abattages en février 2019. Production, consommation, commerce extérieur en janvier 2019","En février 2019, les abattages d’agneaux augmentent de nouveau alors que ceux d’ovins de réforme reculent sur un an.","[{nom_auteur=Lapuyade, prenom_auteur=Marie-Anne, Structure=Service de la statistique et de la prospective (SSP). }]",NATIONAL,INFANIM,CAPOV,2019,ABATTAGE D'ANIMAUX| OVIN| PRIX| PRODUCTION ANIMALE| CONJONCTURE| COMMERCE EXTÉRIEUR| CONSOMMATION ALIMENTAIRE,FRANCE,2019/03/29 00:00,2019/10/17 13:17,0.1,2019-042,https://agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo042/detail/,1,"[""2019_042_InforapOvins.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo042/2019_042_InforapOvins.pdf""]",
IraAbo054,"Bovins. En mars 2019, nouvelle baisse des abattages de bovins","Abattages en mars 2019. Production, consommation, commerce extérieur en février 2019","En mars 2019, les abattages de bovins sont en repli sur un an, toutes catégories confondues.","[{nom_auteur=Lapuyade, prenom_auteur=Marie-Anne, Structure=Service de la statistique et de la prospective (SSP). }]",NATIONAL,INFANIM,BOVIN,2019,BOVIN| ABATTAGE D'ANIMAUX| PRIX| PRODUCTION ANIMALE| CONJONCTURE| COMMERCE EXTÉRIEUR| CONSOMMATION ALIMENTAIRE,FRANCE,2019/04/26 00:00,2019/10/17 12:33,0.2,2019-054,https://agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo054/detail/,1,"[""2019_054_InforapBovins.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo054/2019_054_InforapBovins.pdf""]",
IraAbo055,"Porcins. En mars 2019, des perspectives de cours à la hausse pour le porc","Abattages en mars 2019. Production, consommation, commerce extérieur en février 2019","Début 2019, la menace de propagation de la peste porcine africaine en Asie entraîne une hausse mondiale des cours du porc charcutier, à partir de mi-février en Europe et de mi-mars en France.","[{nom_auteur=Lapuyade, prenom_auteur=Marie-Anne, Structure=Service de la statistique et de la prospective (SSP). }]",NATIONAL,INFANIM,PORC,2019,ABATTAGE D'ANIMAUX| PRIX| PRODUCTION ANIMALE| CONJONCTURE| PORCIN| COMMERCE EXTÉRIEUR| CONSOMMATION ALIMENTAIRE,FRANCE,2019/04/26 00:00,2019/10/17 13:00,0.1,2019-055,https://agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo055/detail/,1,"[""2019_055_InforapPorcins.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo055/2019_055_InforapPorcins.pdf""]",
IraAbo056,"Ovins. En février 2019, repli des importations de viande ovine","Abattages en mars 2019. Production, consommation, commerce extérieur en février 2019","En mars 2019, les abattages d’agneaux et d’ovins de réforme reculent par rapport à 2018, année où la fête de Pâques tombait le 1er week-end du mois d’avril, soit 3 semaines plus tôt qu’en 2019.","[{nom_auteur=Lapuyade, prenom_auteur=Marie-Anne, Structure=Service de la statistique et de la prospective (SSP). }]",NATIONAL,INFANIM,CAPOV,2019,ABATTAGE D'ANIMAUX| OVIN| PRIX| PRODUCTION ANIMALE| CONJONCTURE| COMMERCE EXTÉRIEUR| CONSOMMATION ALIMENTAIRE,FRANCE,2019/04/26 00:00,2019/10/21 18:26,0.2,2019-056,https://agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo056/detail/,1,"[""2019_056_InforapOvins.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo056/2019_056_InforapOvins.pdf""]",
IraAbo074,"Bovins. En avril 2019, nouvelle baisse des abattages de bovins","Abattages en avril 2019. Production, consommation, commerce extérieur en mars 2019","En avril 2019, le repli sur un an des abattages de gros bovins se poursuit, bien qu’à un rythme plus faible qu’au cours des mois précédents, tandis que les abattages de veaux de boucheries augmentent sur un an, après deux mois de recul, conséquence de la demande pascale.","[{nom_auteur=Lapuyade, prenom_auteur=Marie-Anne, Structure=Service de la statistique et de la prospective (SSP). }]",NATIONAL,INFANIM,BOVIN,2019,BOVIN| ABATTAGE D'ANIMAUX| PRIX| PRODUCTION ANIMALE| CONJONCTURE| COMMERCE EXTÉRIEUR| CONSOMMATION ALIMENTAIRE,FRANCE,2019/06/03 00:00,2019/10/21 13:23,0.2,2019-074,https://agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo074/detail/,1,"[""2019_074_InforapBovins.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo074/2019_074_InforapBovins.pdf""]",
IraAbo075,"Porcins : En avril 2019, forte hausse des cours sur le marché du porc","Abattages en avril 2019. Production, consommation, commerce extérieur en mars 2019","En France, les cours du porc s’envolent de mi-mars à mi-avril 2019, pour augmenter ensuite plus modérément.","[{nom_auteur=Lapuyade, prenom_auteur=Marie-Anne, Structure=Service de la statistique et de la prospective (SSP). }]",NATIONAL,INFANIM,PORC,2019,ABATTAGE D'ANIMAUX| PRIX| PRODUCTION ANIMALE| CONJONCTURE| PORCIN| COMMERCE EXTÉRIEUR| CONSOMMATION ALIMENTAIRE,FRANCE,2019/06/03 00:00,2019/10/17 13:17,0.1,2019-075,https://agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo075/detail/,1,"[""2019_075_InforapPorcinsv2.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo075/2019_075_InforapPorcinsv2.pdf""]",
IraAbo076,"Ovins. En avril 2019, des cours de l’agneau soutenus","Abattages en avril 2019. Production, consommation, commerce extérieur en mars 2019","En avril 2019, les abattages d’agneaux augmentent fortement par rapport à 2018, année où la fête de Pâques tombait le 1er week-end du mois d’avril, soit 3 semaines plus tôt qu’en 2019.","[{nom_auteur=Lapuyade, prenom_auteur=Marie-Anne, Structure=Service de la statistique et de la prospective (SSP). }]",NATIONAL,INFANIM,CAPOV,2019,ABATTAGE D'ANIMAUX| OVIN| PRIX| PRODUCTION ANIMALE| CONJONCTURE| COMMERCE EXTÉRIEUR| CONSOMMATION ALIMENTAIRE,FRANCE,2019/06/03 00:00,2019/10/17 12:39,0.1,2019-076,https://agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo076/detail/,1,"[""2019_076_InforapOvins.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo076/2019_076_InforapOvins.pdf""]",
IraAbo091,"Porcins : En avril 2019, dynamisme des exportations de viande porcine","Abattages en mai 2019. Production, consommation, commerce extérieur en avril 2019","En avril 2019, les exportations françaises de viande porcine bondissent de 26 % sur un an, tirées par la hausse de la demande asiatique en viande européenne.","[{nom_auteur=Lapuyade, prenom_auteur=Marie-Anne, Structure=Service de la statistique et de la prospective (SSP). }]",NATIONAL,INFANIM,PORC,2019,ABATTAGE D'ANIMAUX| PRIX| PRODUCTION ANIMALE| CONJONCTURE| PORCIN| COMMERCE EXTÉRIEUR| CONSOMMATION ALIMENTAIRE,FRANCE,2019/06/28 00:00,2019/10/17 13:17,0.1,2019-091,https://agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo091/detail/,1,"[""2019_091_InforapPorcins.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo091/2019_091_InforapPorcins.pdf""]",
IraAbo092,"Ovins : En mai 2019, repli des abattages d’agneaux sur un an","Abattages en mai 2019. Production, consommation, commerce extérieur en avril 2019","En mai 2019, les abattages d’agneaux reculent de 7 % par rapport à 2018. Les cours de l’agneau se replient.","[{nom_auteur=Lapuyade, prenom_auteur=Marie-Anne, Structure=Service de la statistique et de la prospective (SSP). }]",NATIONAL,INFANIM,CAPOV,2019,ABATTAGE D'ANIMAUX| OVIN| PRIX| PRODUCTION ANIMALE| CONJONCTURE| COMMERCE EXTÉRIEUR| CONSOMMATION ALIMENTAIRE,FRANCE,2019/06/28 00:00,2019/10/17 12:45,0.1,2019-092,https://agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo092/detail/,1,"[""2019_092_InforapOvins.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo092/2019_092_InforapOvins.pdf""]",
IraAbo141,"Bovins. En juillet 2018, des exportations de broutards en hausse","Abattages en août 2018. Production, consommation, commerce extérieur en juillet 2018","En août 2018, les abattages totaux de bovins reculent en têtes et en poids.","[{nom_auteur=Lapuyade, prenom_auteur=Marie-Anne, Structure=Service de la statistique et de la prospective (SSP). }]",NATIONAL,INFANIM,BOVIN,2018,BOVIN| ABATTAGE D'ANIMAUX| PRIX| PRODUCTION ANIMALE| CONJONCTURE| COMMERCE EXTÉRIEUR| CONSOMMATION ALIMENTAIRE,FRANCE,2018/09/28 00:00,2019/10/17 13:13,0.1,2018-141,https://agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo141/detail/,1,"[""2018_141inforapbovins.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo141/2018_141inforapbovins.pdf""]",
IraAbo142,"Porcins. En août 2018, les abattages de porcins se replient","Abattages en août 2018. Production, consommation, commerce extérieur en juillet 2018","En août 2018, les abattages de porcins fléchissent, en têtes et en poids.","[{nom_auteur=Lapuyade, prenom_auteur=Marie-Anne, Structure=Service de la statistique et de la prospective (SSP). }]",NATIONAL,INFANIM,PORC,2018,ABATTAGE D'ANIMAUX| PRIX| PRODUCTION ANIMALE| CONJONCTURE| PORCIN| COMMERCE EXTÉRIEUR| CONSOMMATION ALIMENTAIRE,FRANCE,2018/09/28 00:00,2019/10/17 12:45,0.1,2018-142,https://agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo142/detail/,1,"[""2018_142inforaporcins.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo142/2018_142inforaporcins.pdf""]",
IraAbo143,"Ovins. En août 2018, hausse des abattages d’agneaux","Abattages en août 2018. Production, consommation, commerce extérieur en juillet 2018","En août 2018, en lien avec le calendrier de l’Aïd el Kébir, les abattages d’ovins sont en hausse de 13 %, sur un an.","[{nom_auteur=Lapuyade, prenom_auteur=Marie-Anne, Structure=Service de la statistique et de la prospective (SSP). }]",NATIONAL,INFANIM,CAPOV,2018,ABATTAGE D'ANIMAUX| OVIN| PRIX| PRODUCTION ANIMALE| CONJONCTURE| COMMERCE EXTÉRIEUR| CONSOMMATION ALIMENTAIRE,FRANCE,2018/09/28 00:00,2019/10/17 13:12,0.1,2018-143,https://agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo143/detail/,1,"[""2018_143inforapovins.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo143/2018_143inforapovins.pdf""]",
IraAbo154,"Bovins. En mai 2018, repli du cheptel bovin français","Cheptel français et européen au 1er semestre 2018, prévision de production de viande","Au 1er mai 2018, le cheptel bovin s’élève en France à près de 19 millions de têtes.","[{nom_auteur=Lapuyade, prenom_auteur=Marie-Anne, Structure=Service de la statistique et de la prospective (SSP). }]",NATIONAL,INFANIM,BOVIN,2018,BOVIN| CHEPTEL| CONJONCTURE| PRODUCTION ANIMALE,FRANCE,2018/10/19 00:00,2019/10/17 12:59,0.1,2018-154,https://agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo154/detail/,1,"[""2018_154inforapbovins.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo154/2018_154inforapbovins.pdf""]",
IraAbo155,"Porcins. En mai 2018, le cheptel porcin français se replie","Cheptel français et européen au 1er semestre 2018, prévision de production de viande","En mai 2018, le cheptel porcin français s’élève à 13,05 millions de têtes, dont 985 000 truies.","[{nom_auteur=Lapuyade, prenom_auteur=Marie-Anne, Structure=Service de la statistique et de la prospective (SSP). }]",NATIONAL,INFANIM,PORC,2018,CHEPTEL| CONJONCTURE| PRODUCTION ANIMALE| PORCIN,FRANCE,2018/10/19 00:00,2019/10/17 12:36,0.1,2018-155,https://agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo155/detail/,1,"[""2018_155inforaporcins.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo155/2018_155inforaporcins.pdf""]",
IraAbo161,"Bovins. En août 2018, repli de la production bovine totale","Abattages en septembre 2018. Production, consommation, commerce extérieur en août 2018","En septembre 2018, les abattages totaux de bovins reculent en têtes et augmentent en poids. Les cours des bovins finis, à l’exception de ceux des vaches laitières et des veaux de boucheries, restent en deçà des cours de 2017.","[{nom_auteur=Lapuyade, prenom_auteur=Marie-Anne, Structure=Service de la statistique et de la prospective (SSP). }]",NATIONAL,INFANIM,BOVIN,2018,BOVIN| ABATTAGE D'ANIMAUX| PRIX| PRODUCTION ANIMALE| CONJONCTURE| COMMERCE EXTÉRIEUR| CONSOMMATION ALIMENTAIRE,FRANCE,2018/10/26 00:00,2019/10/17 12:33,0.1,2018-161,https://agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo161/detail/,1,"[""2018_161inforapbovins.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo161/2018_161inforapbovins.pdf""]",
IraAbo162,Porcins. Relance saisonnière des abattages de porcs en septembre,"Abattages en septembre 2018. Production, consommation, commerce extérieur en août 2018",La rentrée de septembre 2018 met fin au creux saisonnier estival et marque la reprise des abattages de porcs.,"[{nom_auteur=Lapuyade, prenom_auteur=Marie-Anne, Structure=Service de la statistique et de la prospective (SSP). }]",NATIONAL,INFANIM,PORC,2018,ABATTAGE D'ANIMAUX| PRIX| PRODUCTION ANIMALE| CONJONCTURE| PORCIN| COMMERCE EXTÉRIEUR| CONSOMMATION ALIMENTAIRE,FRANCE,2018/10/26 00:00,2019/10/17 12:33,0.1,2018-162,https://agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo162/detail/,1,"[""2018_162inforapporcins.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo162/2018_162inforapporcins.pdf""]",
IraAbo163,"Ovins. Sur les 9 premiers mois de 2018, stabilité des abattages d’ovins","Abattages en septembre 2018. Production, consommation, commerce extérieur en août 2018","En septembre 2018, les abattages d’ovins sont en repli, sur un an. Sur les neuf premiers mois de l’année, ils sont quasi stables ( -0,4 % en têtes et -0,2 % en poids).","[{nom_auteur=Lapuyade, prenom_auteur=Marie-Anne, Structure=Service de la statistique et de la prospective (SSP). }]",NATIONAL,INFANIM,CAPOV,2018,ABATTAGE D'ANIMAUX| OVIN| PRIX| PRODUCTION ANIMALE| CONJONCTURE| COMMERCE EXTÉRIEUR| CONSOMMATION ALIMENTAIRE,FRANCE,2018/10/26 00:00,2019/10/17 13:17,0.1,2018-163,https://agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo163/detail/,1,"[""2018_163inforapovins.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo163/2018_163inforapovins.pdf""]",
IraAbo170,"Bovins. En octobre 2020, des cours de veaux de boucherie en hausse sur un an","Abattages en octobre 2020, production-consommation-commerce extérieur en septembre 2020","En octobre 2020, les abattages de bovins mâles et de génisses augmentent alors que ceux de vaches et de veaux de boucherie se maintiennent. Les cours des vaches bien conformées restent élevés, ceux des jeunes bovins de boucherie continuent à reculer. Les cours des veaux de boucherie dépassent le niveau de 2019, pour rejoindre quasiment la moyenne quinquennale. En septembre 2020, la production de bovins finis dépasse en têtes de 2 % le niveau de 2019. La demande italienne se maintient pour les bovins mâles de plus de 300 kg, mais recule pour les autres catégories de bovins maigres. Les cours des broutards sont en repli. En septembre 2020, les échanges de viande bovine augmentent. En poids, les importations sont en hausse de 10,4 % et les exportations de 8,6 %, sur un an. En valeur, les importations reculent de 1,6 % alors que les exportations augmentent de 4,7%.","[{nom_auteur=Lapuyade, prenom_auteur=Marie-Anne, Structure=SSP}]",NATIONAL,INFANIM,BOVIN,2020,BOVIN,FRANCE,2020/11/27 11:00,2020/11/27 11:00,0.1,2020-170,https://agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo170/detail/,1,"[""2020_170_InforapBovins.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo170/2020_170_InforapBovins.pdf""]",
