Disaron_lien_origine,Nom_Disaron,Titre Disaron,Paru le,Annee_1re publication,Publication-Tableau-Carte,Collection Libellé Agreste,Sous-Collection Libellé Agreste,Sous-collection (nom court),Thèmes_CORRIGÉS,Thème CORRIGÉ-1,Thème CORRIGÉ-2,NB-THEM,Pondération,Descripteurs
,IraLeg25137,Carotte. Une récolte attendue en légère hausse sur un an,2025_10,2025,p,Conjoncture – Infos Rapides,Infos Rap - Légumes,Légumes,LEGUME,,,,,CAROTTE
,IraLeg25138,Laitue. Une production attendue en légère hausse sur un an,2025_10,2025,p,Conjoncture – Infos Rapides,Infos Rap - Légumes,Légumes,LEGUME,,,,,LAITUE
,IraLeg25139,Poireau. Des surfaces globalement stables sur la campagne 2025-2026,2025_10,2025,p,Conjoncture – Infos Rapides,Infos Rap - Légumes,Légumes,LEGUME,,,,,PRIX| POIREAU| CONJONCTURE| RÉCOLTE| COMMERCE EXTÉRIEUR| PRODUCTION VÉGÉTALE
,IraAbo25140,"Bovins. En septembre 2025, net repli des abattages de bovins",2025_10,2025,p,Conjoncture – Infos Rapides,Infos Rap - Animaux,Animaux,BOVIN,,,,,BOVIN
,IraAbo25141,"Porcins. En septembre, légère hausse des abattages de porcs sur un an",2025_10,2025,p,Conjoncture – Infos Rapides,Infos Rap - Animaux,Animaux,PORC,,,,,PORCIN
,IraAbo25142,"Ovins. En septembre, repli des abattages d'agneaux sur un an",2025_10,2025,p,Conjoncture – Infos Rapides,Infos Rap - Animaux,Animaux,CAPOV,,,,,OVIN
,IraAvi25143,"Aviculture. En septembre, des abattages de volailles en retrait",2025_11,2025,p,Conjoncture – Infos Rapides,Infos Rap - Aviculture,Aviculture,VOLAIL,,,,,
,IraVit25144,"Viticulture. Une production viticole 2025 estimée à 36,2 millions d'hectolitres",2025_11,2025,p,Conjoncture – Infos Rapides,Infos Rap - Viticulture,Viticulture,VITI,,,,,
,IraGcu25145,Grandes cultures. Une récolte 2025 de maïs en baisse de près de 10 % sur un an,2025_11,2025,p,Conjoncture – Infos Rapides,Infos Rap - Grandes cultures,Grandes cultures,GC,,,,,
,IraCpr25146,Coûts de production. Prix des intrants en septembre 2025 : quasi stable sur un mois et sur un an,2025_11,2025,p,Conjoncture – Infos Rapides,Infos Rap - Coûts de production,Coûts de production,PRIX,,,,,
,IraLai25147,Lait. Septembre 2025 : la hausse de la collecte de lait de vache se confirme,2025_11,2025,p,Conjoncture – Infos Rapides,Infos Rap - Lait,Lait,LAIT,,,,,
,IraFru25148,"Pomme. Une production de pommes en léger recul, des prix en baisse en début de campagne",2025_11,2025,p,Conjoncture – Infos Rapides,Infos Rap - Fruits,Fruits,FRUIT,,,,,POMME
,IraFru25149,Poire. Une production de poires proche de celle de l’an dernier et fléchissement des prix,2025_11,2025,p,Conjoncture – Infos Rapides,Infos Rap - Fruits,Fruits,FRUIT,,,,,POIRE
,IraCex25150,"Commerce extérieur agroalimentaire. En septembre 2025, le déséquilibre des échanges de produits transformés pèse sur le solde des échanges agroalimentaires",2025_11,2025,p,Conjoncture – Infos Rapides,Infos Rap - Commerce extérieur,Commerce extérieur,COMEXT,,,,,
,IraAla25151,"Alimentation animale. Au 3e trimestre 2025, hausse de la production et baisse du prix des aliments pour animaux sur un an",2025_11,2025,p,Conjoncture – Infos Rapides,Infos Rap - Alimentation animale,Alimentation animale,PRAELEV,,,,,
,IraLeg25152,Courgette. Une campagne 2025 marquée par de faibles rendements,2025_11,2025,p,Conjoncture – Infos Rapides,Infos Rap - Légumes,Légumes,LEGUME,,,,,COURGETTE
