disaron_nom,nom_fichier,success,url_fichier
IraCpr153,2018_153inforapcoutsprod.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCpr153/2018_153inforapcoutsprod.pdf
IraCpr18101,2018_101inforapcoutdeproduction.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCpr18101/2018_101inforapcoutdeproduction.pdf
IraCpr19186,2019_186inforapcoutsprod.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCpr19186/2019_186inforapcoutsprod.pdf
IraCpr19186,2019_186donneescoutsprod.xls,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCpr19186/2019_186donneescoutsprod.xls
IraCpr20128,2020_128inforapcoutsprod.pdf,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCpr20128/2020_128inforapcoutsprod.pdf
IraCpr20128,2020_128donneescoutsprod.xls,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCpr20128/2020_128donneescoutsprod.xls
IraCpr2338,2023_38inforapcoutsprod.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCpr2338/2023_38inforapcoutsprod.pdf
IraCpr2338,2023_38donneescoutsprod.xlsx,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCpr2338/2023_38donneescoutsprod.xlsx
IraCpr2352,2023_52inforapcoutsprod.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCpr2352/2023_52inforapcoutsprod.pdf
IraCpr2352,2023_52donneescoutsprod.xlsx,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCpr2352/2023_52donneescoutsprod.xlsx
IraCpr25134,2025_134inforapcoutsprod.pdf,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCpr25134/2025_134inforapcoutsprod.pdf
IraCpr25134,2025_134donneescoutsprod-Graph.xlsx,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCpr25134/2025_134donneescoutsprod-Graph.xlsx
IraCpr25134,2025_134donneescoutsprod.xlsx,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCpr25134/2025_134donneescoutsprod.xlsx
IraCpr25146,2025_146inforapcoutsprod.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCpr25146/2025_146inforapcoutsprod.pdf
IraCpr25146,2025_146donneescoutsprod-Graph.xlsx,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCpr25146/2025_146donneescoutsprod-Graph.xlsx
IraCpr25146,2025_146donneescoutsprod.xlsx,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCpr25146/2025_146donneescoutsprod.xlsx
IraCpr2601,2026_01inforapcoutsprod.pdf,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCpr2601/2026_01inforapcoutsprod.pdf
IraCpr2601,2026_01donneescoutsprod-Graph.xlsx,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCpr2601/2026_01donneescoutsprod-Graph.xlsx
IraCpr2601,2026_01donneescoutsprod.xlsx,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCpr2601/2026_01donneescoutsprod.xlsx
IraCpr2615,2026_15inforapcoutsprod.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCpr2615/2026_15inforapcoutsprod.pdf
IraCpr2615,2026_15donneescoutsprod-Graph.xlsx,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCpr2615/2026_15donneescoutsprod-Graph.xlsx
IraCpr2615,2026_15donneescoutsprod.xlsx,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraCpr2615/2026_15donneescoutsprod.xlsx
IraEng2608,2026_08inforapengrais.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraEng2608/2026_08inforapengrais.pdf
IraEng2608,2026_08donneesengrais-Graph.xlsx,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraEng2608/2026_08donneesengrais-Graph.xlsx
IraEng2608,2026_08donneescomplémentaires.xlsx,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraEng2608/2026_08donneescomplémentaires.xlsx
IraFru112,2019_112inforapStockpommespoires.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraFru112/2019_112inforapStockpommespoires.pdf
IraFru178,2018_178inforapStockpommespoires.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraFru178/2018_178inforapStockpommespoires.pdf
IraFru19100,2019_100inforappeche.pdf,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraFru19100/2019_100inforappeche.pdf
IraFru19129,2019_129inforappeche.pdf,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraFru19129/2019_129inforappeche.pdf
IraFru2066,2020_66inforapStockpommespoires_old.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraFru2066/2020_66inforapStockpommespoires_old.pdf
IraFru2097,IR Pomme n97 juillet 2020.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraFru2097/IR Pomme n97 juillet 2020.pdf
IraFru21134,2021_134inforappoire.pdf,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraFru21134/2021_134inforappoire.pdf
IraFru22098,2022_98inforapAbricot.pdf,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraFru22098/2022_98inforapAbricot.pdf
IraFru2347,2023_47inforapPêche.pdf,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraFru2347/2023_47inforapPêche.pdf
IraFru24107,2024_107inforapPêche.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraFru24107/2024_107inforapPêche.pdf
IraFru24107,2024_107donneespêche.xlsx,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraFru24107/2024_107donneespêche.xlsx
IraFru24111,2024_111inforapPomme.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraFru24111/2024_111inforapPomme.pdf
IraFru24111,2024_111donneespomme.xlsx,1,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraFru24111/2024_111donneespomme.xlsx
IraFru2491,2024_91inforapStockpommespoires.pdf,0,https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraFru2491/2024_91inforapStockpommespoires.pdf
