disaron_nom,disaron:theme,themes_labels,themes_codes
Ana172,COMEXT|ANAECO|COMMER,"Commerce extérieur, approvisionnements|Aides, PAC, Politiques publiques|Exploitations, spécialisation",COMEXTAPPRO|AIDPOLITIQ|EXPLOITSPEC
Ana173,ANAECO|AGROENV|LAIT,"Aides, PAC, Politiques publiques|Agriculture et environnement|Bovins, ovins, caprins, lait",AIDPOLITIQ|AGROENV|CHEPTLAIT
Ana173-en,ANAECO|AGROENV|LAIT,"Aides, PAC, Politiques publiques|Agriculture et environnement|Bovins, ovins, caprins, lait",AIDPOLITIQ|AGROENV|CHEPTLAIT
Ana174,COMPINT|ANAECO|SOL,"Aides, PAC, Politiques publiques|Sol",AIDPOLITIQ|SOLBIODIV
Ana174-en,COMPINT|ANAECO|SOL,"Aides, PAC, Politiques publiques|Sol",AIDPOLITIQ|SOLBIODIV
Ana175,VEILLE|ANAECO|ANASOC,"Aides, PAC, Politiques publiques",AIDPOLITIQ
Ana176,AGROENV|FERTI|ANAECO,"Agriculture et environnement|Pratiques culturales|Aides, PAC, Politiques publiques",AGROENV|PRACULT|AIDPOLITIQ
Ana177,NRJ|AGROENV|FERTI,Énergie|Agriculture et environnement|Pratiques culturales,NRJ|AGROENV|PRACULT
Ana178,COMPINT|PROSP,"Aides, PAC, Politiques publiques",AIDPOLITIQ
Ana179,ANASOC|AIDE|EVALPOL,"Aides, PAC, Politiques publiques",AIDPOLITIQ
Ana18,SOL|ALIMSECU|PROSP,"Sol|Santé, sécurité alimentaire|Aides, PAC, Politiques publiques",SOLBIODIV|SANTALIM|AIDPOLITIQ
Ana180,IAAFIL|PRIX|ANAECO,"Marchés, filières|Prix, coûts de production|Aides, PAC, Politiques publiques",IAAFIL|COUTPRIX|AIDPOLITIQ
Ana181,EAU|CLIMAT|PROSP,"Eau|Climat|Aides, PAC, Politiques publiques",EAU|CLIMAT|AIDPOLITIQ
Ana182,ANAECO|AGROALIM|PRIX,"Aides, PAC, Politiques publiques|Industries agro-alimentaires (IAA)|Prix, coûts de production",AIDPOLITIQ|IAA|COUTPRIX
Ana183,ANAECO|IAAFIL|PROSP,"Aides, PAC, Politiques publiques|Marchés, filières",AIDPOLITIQ|IAAFIL
Ana184,TOUTCHEP|CLIMAT|SOL|EAU|NRJ|BIO|AIDE,"Tous animaux, productions animales|Climat|Sol|Eau|Énergie|Aides, PAC, Politiques publiques",TOUTCHEP|CLIMAT|SOLBIODIV|EAU|NRJ|AIDPOLITIQ
Ana185,AGROEMP|SOCIO|ANASOC,"Population agricole, emploi|Aides, PAC, Politiques publiques",POPAGREMP|AIDPOLITIQ
Ana186,AGROENV|AUTANI|IAAFIL,"Agriculture et environnement|Autres animaux et productions animales|Marchés, filières",AGROENV|AUTANI|IAAFIL
Ana187,AGROENV|RESFOR|COMEXT,"Agriculture et environnement|Forêts, bois et dérivés|Commerce extérieur, approvisionnements",AGROENV|BOIS|COMEXTAPPRO
Ana188,HORTI|AGROENV|ALIMCOMP,"Autres cultures|Agriculture et environnement|Alimentation, consommation",AUTRCULT|AGROENV|ALIMCOMP
Ana188_en,HORTI|AGROENV|ALIMCOMP,"Autres cultures|Agriculture et environnement|Alimentation, consommation",AUTRCULT|AGROENV|ALIMCOMP
Ana189,SOQO|IAAFIL|EVALPOL,"Bio, labels, signes de qualité|Marchés, filières|Aides, PAC, Politiques publiques",SOQO|IAAFIL|AIDPOLITIQ
Ana19,EVALPOL|AIDE,"Aides, PAC, Politiques publiques",AIDPOLITIQ
Ana190,PROSP|ANASOC|EVALPOL,"Aides, PAC, Politiques publiques",AIDPOLITIQ
Ana191,VEILLE|PROSP|EVALPOL,"Aides, PAC, Politiques publiques",AIDPOLITIQ
Ana192,PROSP|BIO|IAAFIL,"Aides, PAC, Politiques publiques|Sol|Marchés, filières",AIDPOLITIQ|SOLBIODIV|IAAFIL
Ana193,AGROENV|GC|COMPINT,"Agriculture et environnement|Grandes cultures|Aides, PAC, Politiques publiques",AGROENV|GC|AIDPOLITIQ
Ana194,PRAELEV|TOUTCHEP|SANTE,"Pratiques d’élevage|Tous animaux, productions animales|Santé, sécurité alimentaire",PRAELEV|TOUTCHEP|SANTALIM
Ana195,SOQO|FERTI|PROSP,"Bio, labels, signes de qualité|Pratiques culturales|Aides, PAC, Politiques publiques",SOQO|PRACULT|AIDPOLITIQ
Ana196,PROSP|CLIMAT|AGROENV,"Aides, PAC, Politiques publiques|Climat|Agriculture et environnement",AIDPOLITIQ|CLIMAT|AGROENV
Ana197,IAAENV|PROSP|ANAECO,"Industries agro-alimentaires (IAA)|Aides, PAC, Politiques publiques",IAA|AIDPOLITIQ
Ana198,AGROENV|BIO|ANASOC,"Agriculture et environnement|Sol|Aides, PAC, Politiques publiques",AGROENV|SOLBIODIV|AIDPOLITIQ
Ana199,BIO|TAILLE|DIVERS,"Sol|Exploitations, spécialisation",SOLBIODIV|EXPLOITSPEC
Ana2,ANAECO|COMPINT|AIDE,"Aides, PAC, Politiques publiques",AIDPOLITIQ
Ana20,AIDE|ALIMSECU|EVALPOL,"Aides, PAC, Politiques publiques|Santé, sécurité alimentaire",AIDPOLITIQ|SANTALIM
Ana200,SOQO|AGROALIM|ALIMCOMP,"Bio, labels, signes de qualité|Industries agro-alimentaires (IAA)|Alimentation, consommation",SOQO|IAA|ALIMCOMP
Ana201,ANAECO|TOUTCULT|IAAFIL,"Aides, PAC, Politiques publiques|Toutes cultures, productions végétales|Marchés, filières",AIDPOLITIQ|TOUTCULT|IAAFIL
Ana202,EQUIP|TIC|ALIMCOMP,"Installation, équipement|Industries agro-alimentaires (IAA)|Alimentation, consommation",INSTEQUIP|IAA|ALIMCOMP
